Crop,Variety,SN,High_Hill_Sowing,Mid_Hill_Sowing,Terai_Bensi_Sowing,Compost_kg_ropani,N_kg_ropani,P_kg_ropani,K_kg_ropani,Plant_Spacing_cm,Row_Spacing_cm,Seed_Seedling_Rate,Maturity_Days,Yield_kg_ropani,Remarks
Potato,Kufri Jyoti,1,Falgun–Chaitra,Asoj–Kartik,Kartik–Mangsir,1000,10.0,12.0,8.0,20,60,100 kg,100–110,2000–2500,Mid-hill high production
Potato,Janak Dev,2,Baisakh–Jestha,Falgun–Chaitra,Asoj–Kartik,1000,10.0,12.0,8.0,20,60,100 kg,100–110,2000–2500,High altitude variety
Potato,Khumbu,3,Jestha–Shrawan,Jestha–Shrawan,Not Recommended,1000,10.0,12.0,8.0,20,60,100 kg,100–110,2000–2500,None
Potato,IPY,4,Not Recommended,Falgun–Chaitra,Asoj–Kartik,1000,10.0,12.0,8.0,20,60,100 kg,100–110,2000–2500,Tolerant to late blight
Potato,Cardinal,5,Not Recommended,Not Recommended,Asoj–Kartik,1000,10.0,12.0,8.0,20,60,100 kg,90–100,2000–2500,Early ripening; red skin
Sweet Potato,Local,6,Baisakh–Jestha,Falgun–Chaitra,Bhadra–Asoj,2000,4.0,3.0,3.0,30,60,1500 cuttings,Not Specified,1500–2000,None
Sweet Potato,H-41,7,Not Recommended,Not Recommended,Falgun–Chaitra,2000,4.0,3.0,3.0,30,60,1500 cuttings,Not Specified,1500–2000,High production; orange flesh
Yam,Local,8,Jestha–Shrawan,Baisakh–Jestha,Falgun–Chaitra,2000,0.0,0.0,0.0,60,100,120 kg,Not Specified,1500–2000,Use seed tubers
Taro,Local,9,Jestha–Shrawan,Baisakh–Jestha,Falgun–Chaitra,2000,0.0,0.0,0.0,45,60,200 kg,Not Specified,1500–2000,Use seed tubers
Elephant Foot Yam,Local,10,Jestha–Shrawan,Baisakh–Jestha,Falgun–Chaitra,2000,0.0,0.0,0.0,60,100,100 kg,Not Specified,2000–3000,Use seed tubers
Turmeric,Local,11,Baisakh–Jestha,Chaitra–Baisakh,Falgun–Chaitra,1500,6.0,3.0,5.0,30,45,200 kg,Not Specified,1500–2000,Use seed rhizomes
Turmeric,Bandi,12,Not Recommended,Baisakh–Jestha,Chaitra–Baisakh,1500,6.0,3.0,5.0,30,45,200 kg,Not Specified,1500–2000,None
Ginger,Local,13,Baisakh–Jestha,Chaitra–Baisakh,Falgun–Chaitra,1500,6.0,3.0,5.0,30,45,200 kg,Not Specified,1500–2000,Use seed rhizomes
Ginger,Bandi,14,Not Recommended,Baisakh–Jestha,Chaitra–Baisakh,1500,6.0,3.0,5.0,30,45,200 kg,Not Specified,1500–2000,None
Carrot,Pusa Kesar,15,Not Recommended,Jestha–Bhadra,Asoj–Mangsir,1000,3.0,4.0,3.0,10,30,40 g,Not Specified,Not Specified,None
Carrot,Nantes,16,Not Recommended,Jestha–Bhadra,Asoj–Mangsir,1000,3.0,4.0,3.0,10,30,40 g,Not Specified,Not Specified,None
Radish,Kathmandu Local,17,Baisakh–Bhadra,Shrawan–Chaitra,Asoj–Mangsir,1000,4.0,6.0,3.0,15,30,100 g,Not Specified,Not Specified,None
Radish,All Season,18,Not Recommended,Shrawan–Falgun,Asoj–Chaitra,1000,4.0,6.0,3.0,15,30,100 g,Not Specified,Not Specified,None
Radish,Forty Day,19,Not Recommended,Not Recommended,Asoj–Mangsir,1000,4.0,6.0,3.0,15,30,100 g,Not Specified,Not Specified,None
Cabbage,Green Coronet,20,Baisakh–Jestha,Bhadra–Poush,Kartik–Magh,1500,8.0,6.0,4.0,45,45,20 g (700 seedlings),70–80,Not Specified,None
Cabbage,Copenhagen,21,Not Recommended,Bhadra-Poush,Kartik–Magh,1500,8.0,6.0,4.0,45,45,20 g (700 seedlings),70–80,Not Specified,None
Cabbage,NS 43,22,Not Recommended,Not Recommended,Kartik–Magh,1500,8.0,6.0,4.0,45,45,20 g (700 seedlings),60–70,Not Specified,None
Cauliflower,Snow King,23,Baisakh–Jestha,Bhadra–Kartik,Asoj–Mangsir,1500,8.0,6.0,4.0,45,45,20 g (700 seedlings),Not Specified,Not Specified,None
Cauliflower,Patna Snow Ball,24,Not Recommended,Not Recommended,Kartik–Magh,1500,8.0,6.0,4.0,45,45,20 g (700 seedlings),Not Specified,Not Specified,None
Broccoli,Green Sprouting,25,Baisakh–Jestha,Bhadra–Kartik,Asoj–Mangsir,1500,8.0,6.0,4.0,45,45,20 g (700 seedlings),Not Specified,Not Specified,None
Garlic,Local,27,Baisakh–Jestha,Shrawan–Magh,Asoj–Kartik,1500,12.0,12.0,4.0,15,15,2500 g,Not Specified,Not Specified,None
Bottle Gourd,NS 421/Kaveri/NS 443,28,Falgun–Chaitra,Ashar–Poush–Jestha,Not Recommended,1500,2.0,1.0,1.0,200,200,100 g (125 seedlings),Not Specified,Not Specified,None
Turnip,Purple Top,29,Jestha–Shrawan,Shrawan–Falgun,Asoj–Mangsir,1000,4.0,6.0,3.0,10,30,100 g,Not Specified,Not Specified,None
Turnip,Fuyunasho,30,Not Recommended,Shrawan–Falgun,Asoj–Mangsir,1000,4.0,6.0,3.0,10,30,100 g,Not Specified,Not Specified,None
Turnip,Kathmandu Red,31,Not Recommended,Shrawan–Falgun,Not Recommended,1000,4.0,6.0,3.0,20,30,30 g,Not Specified,Not Specified,None
French Bean,Khrishuli,32,Chaitra–Baisakh,Magh–Falgun,Not Recommended,600,4.0,6.0,3.0,50,120,500–1000 g,Not Specified,Not Specified,None
Pole Bean,Local,33,Not Recommended,Magh–Falgun,Bhadra–Asoj,600,4.0,6.0,3.0,30,120,2000 g,Not Specified,Not Specified,None
Brown French Bean,Local,34,Not Recommended,Magh–Falgun,Bhadra–Asoj,600,4.0,6.0,3.0,50,120,500–1000 g,Not Specified,Not Specified,None
Cardamom,Ramshahi,35,Jestha–Shrawan,Jestha–Shrawan,Not Recommended,2000–2500,5.0,3.0,3.0,120–150,120–150,3 seedlings/pit,3 years to harvest,30–40,3 seedlings per pit
Cardamom,Golshahi,36,Jestha–Shrawan,Jestha–Shrawan,Not Recommended,2000–2500,5.0,3.0,3.0,120–150,120–150,3 seedlings/pit,3 years to harvest,30–40,3 seedlings per pit