Vegetable,Optimal_pH_Range,General_Category_Preference
Asparagus,6.0-8.0,Slightly Acidic to Alkaline
Beet,6.0-7.5,Slightly Acidic to Alkaline
Cabbage,6.0-6.8,Slightly Acidic to Neutral
Cauliflower,5.5-7.5,Mildly Acidic to Neutral
Carrot,5.8-6.8,Mildly Acidic to Neutral
Cucumber,5.8-6.8,Mildly Acidic to Neutral
Garlic,5.5-8.0,Acidic to Alkaline
Kale,5.8-7.5,Mildly Acidic to Alkaline
Lettuce,6.0-7.0,Slightly Acidic to Neutral
Onion,6.0-6.8,Slightly Acidic to Neutral
Pea (Sweet),6.0-7.5,Slightly Acidic to Alkaline
Potato,5.0-6.0,Acidic (Generally grown in acidic soil to manage potato scab)
Radish,5.8-6.8,Mildly Acidic to Neutral
Spinach,6.0-7.5,Slightly Acidic to Alkaline
Sweet Potato,5.5-6.8,Acidic to Mildly Acidic
Tomato,5.5-7.5,Mildly Acidic to Neutral
Turnip,5.5-6.8,Mildly Acidic to Neutral